con_description,lang,votes,mos,mos_std
AMR-WB@19.85 + BGN 20dB + Level -15dB,en,21.0,3.19047619047619,0.6015852075182379
AMR-WB@19.85 + BGN 20dB + Level -15dB,en,34.0,3.23529411764706,0.780785289595801
AMR-NB@12.20 + BGN 25dB + Level -5dB,en,25.0,2.92,0.702376916856849
AMR-NB@12.20 + BGN 25dB + Level -5dB,en,31.0,2.8709677419354804,0.6187048560701071
AMR-NB@12.20 + BGN 25dB + Level -5dB,en,31.0,2.51612903225806,0.5698518954918891
AMR-NB@12.20 + BGN 25dB + Level -5dB,en,25.0,2.72,0.737111479583199
AMR-WB@23.05 PL 25% random + BGN 25dB + Level -10dB,en,25.0,1.16,0.374165738677394
AMR-WB@23.05 PL 25% random + BGN 25dB + Level -10dB,en,33.0,1.3636363636363602,0.488504210459197
AMR-WB@23.05 PL 25% random + BGN 25dB + Level -10dB,en,31.0,1.38709677419355,0.4951376478541911
AMR-WB@23.05 PL 25% random + BGN 25dB + Level -10dB,en,32.0,1.40625,0.498990917235846
EVS @ 16.4 PL 15% bursty + BGN 20dB + Level -15dB,en,26.0,1.80769230769231,0.6939297237750099
EVS @ 16.4 PL 15% bursty + BGN 20dB + Level -15dB,en,26.0,2.07692307692308,0.688364840652218
EVS @ 16.4 PL 15% bursty + BGN 20dB + Level -15dB,en,31.0,2.16129032258065,0.8204378584450459
EVS @ 16.4 PL 15% bursty + BGN 20dB + Level -15dB,en,25.0,1.68,0.690410505906933
AMR-WB@6.60 PL 6% bursty + BGN 30dB ,en,34.0,2.05882352941176,0.600059414764715
AMR-WB@6.60 PL 6% bursty + BGN 30dB ,en,28.0,2.28571428571429,0.5998236072282911
AMR-WB@6.60 PL 6% bursty + BGN 30dB ,en,29.0,1.75862068965517,0.6355634403421171
AMR-WB@6.60 PL 6% bursty + BGN 30dB ,en,31.0,2.19354838709677,0.7491931143441228
AMR-NB@10.20 + BGN 30dB + Level -25dB,en,29.0,1.86206896551724,0.7427813527082071
AMR-NB@10.20 + BGN 30dB + Level -25dB,en,21.0,1.9523809523809497,0.6690433824641329
AMR-NB@10.20 + BGN 30dB + Level -25dB,en,26.0,1.42307692307692,0.757526338714473
AMR-NB@10.20 + BGN 30dB + Level -25dB,en,23.0,1.69565217391304,0.7029019463944169
Opus @ 30.0  + BGN 15dB + Level -15dB,en,25.0,2.48,0.5859465277082321
Opus @ 30.0  + BGN 15dB + Level -15dB,en,31.0,3.25806451612903,0.81517858720176
Opus @ 30.0  + BGN 15dB + Level -15dB,en,28.0,2.78571428571429,0.738223235189428
Opus @ 30.0  + BGN 15dB + Level -15dB,en,34.0,3.02941176470588,0.7581993868109019
AMR-WB @ 12.65 selftandem x3 + BGN 25dB + Level +10dB,en,32.0,2.8125,0.644455258838937
AMR-WB @ 12.65 selftandem x3 + BGN 25dB + Level +10dB,en,32.0,2.71875,0.5811209967839971
AMR-WB @ 12.65 selftandem x3 + BGN 25dB + Level +10dB,en,23.0,2.6956521739130404,0.973969507115348
AMR-WB @ 12.65 selftandem x3 + BGN 25dB + Level +10dB,en,32.0,2.65625,0.8654432017665121
AMR-NB@12.2 PL 5% x G.711 x AMR-NB@12.2  PL 2% ,en,34.0,2.64705882352941,0.691171729797524
AMR-NB@12.2 PL 5% x G.711 x AMR-NB@12.2  PL 2% ,en,31.0,3.09677419354839,0.650888557264986
AMR-NB@12.2 PL 5% x G.711 x AMR-NB@12.2  PL 2% ,en,32.0,2.625,0.8327955253822958
AMR-NB@12.2 PL 5% x G.711 x AMR-NB@12.2  PL 2% ,en,23.0,2.17391304347826,0.7168221481614959
AMR-WB@12.65 PL 5% x G.722 x AMR-WB@12.65 PL 2% + BGN 20 dB,en,26.0,2.5,0.812403840463596
AMR-WB@12.65 PL 5% x G.722 x AMR-WB@12.65 PL 2% + BGN 20 dB,en,31.0,1.6774193548387095,0.7477565011059659
AMR-WB@12.65 PL 5% x G.722 x AMR-WB@12.65 PL 2% + BGN 20 dB,en,31.0,2.09677419354839,0.789718882880797
AMR-WB@12.65 PL 5% x G.722 x AMR-WB@12.65 PL 2% + BGN 20 dB,en,23.0,1.56521739130435,0.66237087637185
AMR-NB@5.9 PL 8% x G.711 x AMR-NB@5.9  + BGN 15dB,en,31.0,1.74193548387097,0.6815542010964779
AMR-NB@5.9 PL 8% x G.711 x AMR-NB@5.9  + BGN 15dB,en,34.0,1.7352941176470602,0.618346942400842
AMR-NB@5.9 PL 8% x G.711 x AMR-NB@5.9  + BGN 15dB,en,34.0,1.8529411764705903,0.6574677289546279
AMR-NB@5.9 PL 8% x G.711 x AMR-NB@5.9  + BGN 15dB,en,28.0,1.60714285714286,0.5669467095138411
WhatsApp Good,en,32.0,4.375,0.707106781186548
WhatsApp Good,en,33.0,4.09090909090909,0.7650014854412199
WhatsApp Good,en,31.0,4.38709677419355,0.667204084461854
WhatsApp Good,en,31.0,4.25806451612903,0.728822883627377
WhatsApp Good + BGN 5 dB,en,31.0,2.61290322580645,0.919326541726377
WhatsApp Good + BGN 5 dB,en,32.0,2.90625,0.817524785063761
WhatsApp Good + BGN 5 dB,en,31.0,2.7741935483871,0.9204954252776
WhatsApp Good + BGN 5 dB,en,34.0,3.0,0.778498944161523
WhatsApp Low Bitrate,en,32.0,1.375,0.553580719410662
WhatsApp Low Bitrate,en,31.0,2.06451612903226,0.5736133349779411
WhatsApp Low Bitrate,en,29.0,1.31034482758621,0.54139029200371
WhatsApp Low Bitrate,en,34.0,1.26470588235294,0.4478110755198989
WhatsApp Low Bitrate + BGN 8dB,en,23.0,1.6086956521739098,0.583027399541909
WhatsApp Low Bitrate + BGN 8dB,en,31.0,1.0,0.0
WhatsApp Low Bitrate + BGN 8dB,en,28.0,1.17857142857143,0.39002102778748
WhatsApp Low Bitrate + BGN 8dB,en,31.0,1.25806451612903,0.4448027229745689
WhatsApp Packet Loss,en,21.0,1.19047619047619,0.4023739080814779
WhatsApp Packet Loss,en,23.0,1.52173913043478,0.730477130336511
WhatsApp Packet Loss,en,31.0,1.41935483870968,0.672021505032247
WhatsApp Packet Loss,en,25.0,1.48,0.5859465277082321
Zoom Bad ,en,32.0,1.71875,0.812577539724374
Zoom Bad ,en,23.0,1.7826086956521698,0.6712621584563621
Zoom Bad ,en,25.0,1.64,0.7
Zoom Bad ,en,32.0,1.59375,0.665237042399659
Zoom Bad + BGN 20dB,en,31.0,1.32258064516129,0.475190963311491
Zoom Bad + BGN 20dB,en,31.0,1.41935483870968,0.5641627157943649
Zoom Bad + BGN 20dB,en,31.0,1.06451612903226,0.2497310381147069
Zoom Bad + BGN 20dB,en,21.0,1.33333333333333,0.483045891539648
Zoom Medium ,en,23.0,3.65217391304348,0.8316847989130749
Zoom Medium ,en,31.0,3.06451612903226,0.8538338585840429
Zoom Medium ,en,28.0,3.5,0.793492047615872
Zoom Medium ,en,26.0,2.65384615384615,0.7452413135250991
Zoom Medium + BGN 30dB,en,32.0,3.15625,0.627816235698354
Zoom Medium + BGN 30dB,en,31.0,2.7741935483871,0.6169644732805311
Zoom Medium + BGN 30dB,en,31.0,3.2258064516129,0.804556914057041
Zoom Medium + BGN 30dB,en,32.0,3.34375,0.65300175369028
Zoom Good to Bad (Warping),en,26.0,1.46153846153846,0.6468860320501121
Zoom Good to Bad (Warping),en,34.0,1.1764705882352902,0.386952994975947
Zoom Good to Bad (Warping),en,31.0,1.48387096774194,0.5698518954918891
Zoom Good to Bad (Warping),en,31.0,1.61290322580645,0.667204084461854
Zoom Good  / Mobile (AMR-NB) / Bluetooth ,en,31.0,3.38709677419355,0.71542152399075
Zoom Good  / Mobile (AMR-NB) / Bluetooth ,en,31.0,2.80645161290323,0.7032948570222719
Zoom Good  / Mobile (AMR-NB) / Bluetooth ,en,21.0,3.23809523809524,0.8309489698388159
Zoom Good  / Mobile (AMR-NB) / Bluetooth ,en,31.0,2.90322580645161,0.74631712248335
Zoom Good  / Mobile (AMR-NB) / Bluetooth  + BGN 12dB,en,31.0,1.61290322580645,0.71542152399075
Zoom Good  / Mobile (AMR-NB) / Bluetooth  + BGN 12dB,en,31.0,2.03225806451613,0.7063460420946629
Zoom Good  / Mobile (AMR-NB) / Bluetooth  + BGN 12dB,en,26.0,2.1923076923076903,0.9389027966400258
Zoom Good  / Mobile (AMR-NB) / Bluetooth  + BGN 12dB,en,31.0,2.06451612903226,0.771815343674368
Zoom Medium  / Mobile (AMR-NB) / Bluetooth,en,21.0,2.0952380952381,0.624880941040924
Zoom Medium  / Mobile (AMR-NB) / Bluetooth,en,31.0,1.41935483870968,0.5641627157943649
Zoom Medium  / Mobile (AMR-NB) / Bluetooth,en,23.0,1.7391304347826102,0.540823555863717
Zoom Medium  / Mobile (AMR-NB) / Bluetooth,en,32.0,2.375,0.6090712125322321
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + BGN 35dB,en,23.0,1.52173913043478,0.510753918455249
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + BGN 35dB,en,31.0,2.25806451612903,0.81517858720176
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + BGN 35dB,en,25.0,1.48,0.509901951359279
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + BGN 35dB,en,25.0,2.6,0.5
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + Level -10dB,en,34.0,1.79411764705882,0.686643649130512
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + Level -10dB,en,33.0,2.21212121212121,0.696310623822791
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + Level -10dB,en,32.0,1.8125,0.692703911983626
Zoom Medium  / Mobile (AMR-NB) / Bluetooth + Level -10dB,en,25.0,2.28,0.6782329983125269
Discord Good,en,26.0,4.03846153846154,0.7736029591861309
Discord Good,en,25.0,4.4,0.763762615825973
Discord Good,en,34.0,4.23529411764706,0.780785289595801
Discord Good,en,31.0,3.67741935483871,0.7910792954014809
Discord Good + BGN 20 dB,en,33.0,2.6969696969697003,0.918043043818224
Discord Good + BGN 20 dB,en,29.0,2.3448275862069,0.85673224976258
Discord Good + BGN 20 dB,en,23.0,3.0,1.0
Discord Good + BGN 20 dB,en,34.0,3.05882352941176,0.814310508515072
Discord Medium,en,29.0,2.7241379310344795,1.0655833990334
Discord Medium,en,31.0,2.96774193548387,0.65746335602536
Discord Medium,en,32.0,2.875,0.906962317387713
Discord Medium,en,34.0,3.94117647058824,0.8856148855400949
Discord Medium + BGN 12dB,en,29.0,1.93103448275862,0.7036148745056601
Discord Medium + BGN 12dB,en,32.0,1.84375,0.6772513232461861
Discord Medium + BGN 12dB,en,28.0,2.28571428571429,0.8099905283919409
Discord Medium + BGN 12dB,en,29.0,2.24137931034483,0.689470418602625
Discord Bad,en,26.0,1.34615384615385,0.5615911461059679
Discord Bad,en,32.0,1.4375,0.618922059817739
Discord Bad,en,31.0,1.35483870967742,0.48637345711392
Discord Bad,en,31.0,1.25806451612903,0.5143113152870139
Anchor: FB clean,de,24.0,4.75,0.675663924692176
Anchor: FB clean,de,24.0,4.41666666666667,0.6538625481582939
Anchor: FB clean,de,24.0,4.54166666666667,0.658005330140078
Anchor: FB clean,de,24.0,4.66666666666667,0.56465970257328
Anchor: FB P50MNRU 25dB,de,24.0,1.375,0.646898957233327
Anchor: FB P50MNRU 25dB,de,24.0,2.0416666666666696,0.9078961186825508
Anchor: FB P50MNRU 25dB,de,24.0,2.2916666666666696,0.8064504441319251
Anchor: FB P50MNRU 25dB,de,24.0,1.8333333333333304,0.761386987626881
Anchor: FB Noise 12dB,de,24.0,1.33333333333333,0.6370220572706059
Anchor: FB Noise 12dB,de,24.0,1.5833333333333302,0.717281502356772
Anchor: FB Noise 12dB,de,24.0,1.5,0.659380473395787
Anchor: FB Noise 12dB,de,24.0,1.5416666666666698,0.779027636204913
Anchor: FB Level -20dB,de,24.0,4.16666666666667,1.16718415024353
Anchor: FB Level -20dB,de,24.0,4.54166666666667,0.779027636204913
Anchor: FB Level -20dB,de,24.0,3.625,1.01349588703826
Anchor: FB Level -20dB,de,24.0,4.16666666666667,0.916831342257085
Anchor: FB BP 500-2500Hz,de,24.0,1.75,0.793999233380421
Anchor: FB BP 500-2500Hz,de,24.0,2.125,1.07592225353516
Anchor: FB BP 500-2500Hz,de,24.0,1.9166666666666696,0.974307632279888
Anchor: FB BP 500-2500Hz,de,24.0,1.9166666666666696,0.974307632279887
Anchor: FB BP 100-5000Hz + Level -10dB,de,24.0,3.0416666666666696,0.69025305168635
Anchor: FB BP 100-5000Hz + Level -10dB,de,24.0,3.875,0.899879218948661
Anchor: FB BP 100-5000Hz + Level -10dB,de,24.0,4.0,0.7801894976054939
Anchor: FB BP 100-5000Hz + Level -10dB,de,24.0,3.7083333333333295,0.999093792292346
Anchor: FB Time Clipping 2%,de,24.0,3.625,1.09594112821891
Anchor: FB Time Clipping 2%,de,24.0,3.4583333333333304,1.17876747224514
Anchor: FB Time Clipping 2%,de,24.0,3.6666666666666696,0.916831342257085
Anchor: FB Time Clipping 2%,de,24.0,3.375,0.8753881126826469
Anchor: FB Time Clipping 20%,de,24.0,1.20833333333333,0.4148511169990529
Anchor: FB Time Clipping 20%,de,24.0,1.7083333333333302,0.8064504441319251
Anchor: FB Time Clipping 20%,de,24.0,1.08333333333333,0.28232985128664
Anchor: FB Time Clipping 20%,de,24.0,1.125,0.4484272031464411
Mobile phone,de,24.0,4.16666666666667,0.761386987626881
Mobile phone,de,24.0,3.0833333333333304,1.1000658741803702
Mobile phone,de,24.0,3.5416666666666696,0.8836272412331321
Mobile phone,de,24.0,3.4166666666666696,0.974307632279888
Skype / speaking loudly,de,24.0,4.20833333333333,0.8836272412331321
Skype / speaking loudly,de,24.0,3.9583333333333295,0.750603621828092
Skype / speaking loudly,de,24.0,4.04166666666667,0.9078961186825508
Skype / speaking loudly,de,24.0,4.20833333333333,0.658005330140078
Skype / speaking quietly,de,24.0,3.9583333333333295,0.750603621828092
Skype / speaking quietly,de,24.0,4.04166666666667,0.550032937090187
Skype / speaking quietly,de,24.0,3.5833333333333304,1.0179547554081
Skype / speaking quietly,de,24.0,3.0416666666666696,1.19706767331373
Skype / talker distant from microphone,de,24.0,3.7083333333333295,0.858672720295521
Skype / talker distant from microphone,de,24.0,3.8333333333333295,0.8164965809277259
Skype / talker distant from microphone,de,24.0,4.125,0.899879218948661
Skype / talker distant from microphone,de,24.0,3.9166666666666696,0.8805466023105079
Skype / talker distant from microphone / speaking loudly,de,24.0,3.75,0.989070710093681
Skype / talker distant from microphone / speaking loudly,de,24.0,4.0,0.8340576562282992
Skype / talker distant from microphone / speaking loudly,de,24.0,3.7083333333333295,0.8064504441319251
Skype / talker distant from microphone / speaking loudly,de,24.0,3.6666666666666696,1.09014026487487
Skype / talker distant from microphone / speaking quietly,de,24.0,3.4583333333333304,0.8836272412331321
Skype / talker distant from microphone / speaking quietly,de,24.0,3.3333333333333304,0.8164965809277259
Skype / talker distant from microphone / speaking quietly,de,24.0,3.5,0.8340576562282992
Skype / talker distant from microphone / speaking quietly,de,24.0,3.5416666666666696,0.721060008759246
Skype / loudspeaker,de,24.0,2.7083333333333304,0.9078961186825508
Skype / loudspeaker,de,24.0,1.875,1.07592225353516
Skype / loudspeaker,de,24.0,3.6666666666666696,1.09014026487487
Skype / loudspeaker,de,24.0,2.5,0.8340576562282992
Skype / loudness variation,de,24.0,2.9166666666666696,0.829702233998107
Skype / loudness variation,de,24.0,2.5,0.8846517369293829
Skype / loudness variation,de,24.0,4.16666666666667,0.916831342257085
Skype / loudness variation,de,24.0,4.29166666666667,0.750603621828092
Facebook,de,24.0,4.08333333333333,0.974307632279888
Facebook,de,24.0,4.54166666666667,0.779027636204913
Facebook,de,24.0,4.20833333333333,0.721060008759246
Facebook,de,24.0,4.16666666666667,0.7019641181630338
Skype,de,24.0,4.0,0.589767824619589
Skype,de,24.0,4.41666666666667,0.717281502356772
Skype,de,24.0,4.29166666666667,0.69025305168635
Skype,de,24.0,4.08333333333333,0.829702233998107
Facebook / speaking loudly,de,24.0,4.125,0.899879218948661
Facebook / speaking loudly,de,24.0,4.375,0.710939366337732
Facebook / speaking loudly,de,24.0,4.125,0.9469631093315
Facebook / speaking loudly,de,24.0,3.9166666666666696,0.717281502356772
Mobile phone / speaking loudly,de,24.0,3.7083333333333295,0.750603621828092
Mobile phone / speaking loudly,de,24.0,3.0416666666666696,0.9078961186825508
Mobile phone / speaking loudly,de,24.0,2.625,0.8242255917447341
Mobile phone / speaking loudly,de,24.0,3.5416666666666696,0.8836272412331321
Mobile phone / speaking quietly,de,24.0,3.375,0.8753881126826469
Mobile phone / speaking quietly,de,24.0,2.6666666666666696,1.09014026487487
Mobile phone / speaking quietly,de,24.0,2.5833333333333304,1.17645993175054
Mobile phone / speaking quietly,de,24.0,3.5416666666666696,1.02062072615966
Mobile phone / loudspeaker,de,24.0,2.7916666666666696,0.721060008759246
Mobile phone / loudspeaker,de,24.0,2.6666666666666696,0.868114732282431
Mobile phone / loudspeaker,de,24.0,2.7916666666666696,0.832970935693524
Mobile phone / loudspeaker,de,24.0,3.8333333333333295,0.481543412343077
Fixed line / speaking quietly,de,24.0,2.2916666666666696,1.04170289792063
Fixed line / speaking quietly,de,24.0,2.125,0.797414299606792
Fixed line / speaking quietly,de,24.0,2.1666666666666696,0.761386987626881
Fixed line / speaking quietly,de,24.0,2.2083333333333304,0.8836272412331321
Facebook / loudspeaker,de,24.0,2.4166666666666696,0.717281502356772
Facebook / loudspeaker,de,24.0,4.29166666666667,0.69025305168635
Facebook / loudspeaker,de,24.0,3.0833333333333304,0.829702233998107
Facebook / loudspeaker,de,24.0,2.6666666666666696,0.868114732282431
Inside building (bad reception) / mobile phone,de,24.0,2.4166666666666696,0.8805466023105079
Inside building (bad reception) / mobile phone,de,24.0,2.125,0.797414299606792
Inside building (bad reception) / mobile phone,de,24.0,2.3333333333333304,0.7019641181630338
Inside building (bad reception) / mobile phone,de,24.0,1.0,0.0
Inside building (bad reception) / mobile phone / speaking loudly,de,24.0,1.9166666666666696,0.717281502356772
Inside building (bad reception) / mobile phone / speaking loudly,de,24.0,2.7083333333333304,0.8064504441319251
Inside building (bad reception) / mobile phone / speaking loudly,de,24.0,1.125,0.337831962346088
